Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
VSAT,"Viasat Inc",38.22,-1.11,-2.82%,39.33,37.43,136624,"11:21 ET"
VSH,"Vishay Intertechnology",15.27,0.3,+2.00%,15.31,14.85,135349,"11:20 ET"
VVV,"Valvoline Inc",19.24,-0.26,-1.33%,19.47,18.98,502516,"11:18 ET"
WAFD,"Washington Federal",26.95,0.55,+2.08%,27.04,26.21,63597,"11:21 ET"
WBS,"Webster Financial Corp",28.52,0.71,+2.55%,28.54,27.39,67226,"11:18 ET"
WEN,"Wendys Company",21.74,0.079999999999998,+0.37%,21.82,21.41,961063,"11:21 ET"
WERN,"Werner Enterprise",43.39,0.7,+1.64%,43.4,42.31,189019,"11:21 ET"
WEX,"Wex Inc",162.94,0.28,+0.17%,163.38,158.78,139071,"11:20 ET"
WH,"Wyndham Hotels & Resorts Inc",42.02,-0.29,-0.69%,42.03,40.77,133983,"11:17 ET"
WOR,"Worthington Industries",37.93,0.85,+2.29%,38.19,36.75,101873,"11:20 ET"
WPX,"Wpx Energy Inc",6.27,-0.03,-0.48%,6.31,6.09,1581375,"11:21 ET"
WRI,"Weingarten Realty Investors",19.23,0.23,+1.21%,19.32,18.7,134923,"11:20 ET"
WSM,Williams-Sonoma,81.79,-0.19999999999999,-0.24%,82.27,80.52,256103,"11:20 ET"
WSO,"Watsco Inc",177.76,3.49,+2.00%,177.76,174.17,23293,"11:20 ET"
WTFC,"Wintrust Finl Corp",43.55,0.66999999999999,+1.56%,43.72,40.74,61440,"11:20 ET"
WTRG,"Essential Utilities Inc.",42.04,0.37,+0.89%,42.12,41.7,87804,"11:19 ET"
WW,"Weight Watchers International Inc",25.44,0.9,+3.67%,25.6,24.42,212582,"11:19 ET"
WWD,"Woodward Inc",77.7,-0.63,-0.80%,78.3,76.53,76323,"11:18 ET"
WWE,"World Wrestling Entertainment",43.18,-0.41,-0.94%,43.83,42.91,98617,"11:19 ET"
WYND,"Wyndham Destinations Inc",28.12,0.51,+1.85%,28.24,26.94,224762,"11:21 ET"
X,"United States Steel Corp",7.26,-0.02,-0.27%,7.29,7.07,4774773,"11:20 ET"
XEC,"Cimarex Energy Company",27.01,-0.049999999999997,-0.18%,27.16,26.41,104492,"11:21 ET"
XPO,"Xpo Logistics Inc",76.62,1.32,+1.75%,76.62,74.74,113445,"11:18 ET"
Y,"Alleghany Corp",494.76,8.32,+1.71%,494.76,486.18,5701,"11:19 ET"
YELP,"Yelp Inc",22.33,0.86,+4.01%,22.67,21.48,459390,"11:21 ET"
