Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CLGX,Corelogic,67.8,-0.58,-0.85%,68.46,68.68,67.44,353882,"11:21 ET"
CLH,"Clean Harbors",60.23,0.59,+0.99%,59.58,60.23,58.6,35355,"11:22 ET"
CLNY,"Colony Capital Inc",2.4,0.06,+2.56%,2.32,2.4,2.29,862616,"11:19 ET"
CLR,"Continental Resources",16.98,0.79,+4.88%,16,17,15.91,1686161,"11:22 ET"
CLX,"Clorox Company",218.1,0.51999999999998,+0.24%,219.59,221.7,217.7,584020,"11:21 ET"
CMA,"Comerica Inc",38.11,1.1,+2.97%,36.73,38.15,36.58,222045,"11:22 ET"
CMCSA,"Comcast Corp A",38.82,-0.12,-0.31%,38.5,38.89,38.12,4943969,"11:22 ET"
CMD,"Cantel Medical",44.71,0.77,+1.75%,43.5,44.79,42.76,48122,"11:19 ET"
CME,"CME Group Inc",162.86,0.85000000000002,+0.52%,163.45,164.21,161.98,651736,"11:21 ET"
CMG,"Chipotle Mexican Grill",1048.11,2.1599999999999,+0.21%,1049,1051.25,1042.73,57188,"11:18 ET"
CMI,"Cummins Inc",173.12,0.050000000000011,+0.03%,171.87,173.32,170.77,222224,"11:21 ET"
CMS,"Cms Energy Corp",58.12,0.57,+0.99%,57.77,58.17,57.58,425865,"11:22 ET"
CNA,"Cna Financial Corp",32.27,0.39,+1.22%,31.83,32.27,31.54,58639,"11:22 ET"
CNC,"Centene Corp",61.77,-0.82,-1.31%,62.71,62.94,61.08,808274,"11:21 ET"
CNK,"Cinemark Holdings Inc",11.72,0.07,+0.60%,11.61,11.99,11.52,1368753,"11:22 ET"
CNP,"Centerpoint Energy Inc",18.77,0.15,+0.81%,18.63,18.78,18.39,1102820,"11:21 ET"
COF,"Capital One Financial Corp",62.64,0.26,+0.42%,62.08,63.37,61.59,526386,"11:22 ET"
COG,"Cabot Oil & Gas Corp",17.1,0.040000000000003,+0.23%,17.08,17.13,16.82,1284574,"11:21 ET"
COHR,"Coherent Inc",132.54,0.25999999999999,+0.20%,132.17,134.57,131.92,26945,"11:15 ET"
COLD,"Americold Realty Trust",36.43,0.25,+0.69%,36.19,36.66,36.18,219738,"11:21 ET"
COLM,"Columbia Sprtswr",80.52,0.66,+0.83%,79.99,80.6,79,77837,"11:21 ET"
COMM,"Commscope Holding Company",8.31,-0.039999999999999,-0.48%,8.3,8.4,8.13,1354779,"11:21 ET"
CONE,"Cyrusone Inc",73.13,-1.34,-1.80%,73.01,74.1,72.09,338750,"11:21 ET"
COO,"Cooper Companies",277.02,6.09,+2.25%,272.19,278.22,269.68,315498,"11:22 ET"
COP,Conocophillips,40.98,-0.32,-0.77%,40.87,41.24,40.28,1441104,"11:22 ET"
COR,"Coresite Realty Corp",120.43,1.59,+1.34%,119.21,120.89,118.9,80118,"11:22 ET"
COST,"Costco Wholesale",301.75,0.16000000000003,+0.05%,301.01,302.79,301,493878,"11:22 ET"
COTY,"Coty Inc",4.52,-0.22,-4.64%,4.66,4.76,4.38,8550558,"11:20 ET"
COUP,"Coupa Software Inc",276.58,3.64,+1.33%,274.99,278.35,271.45,286477,"11:21 ET"
CPA,"Copa Holdings S.A.",51.19,-0.38,-0.74%,50.96,51.64,49.06,125251,"11:21 ET"
CPB,"Campbell Soup Company",49.37,0.12,+0.24%,49.47,49.62,49.16,243327,"11:21 ET"
CPRI,"Capri Holdings Ltd",15.83,0.17,+1.09%,15.49,15.93,15.12,631615,"11:21 ET"
CPRT,"Copart Inc",82.88,0.94,+1.15%,81.88,82.88,81.58,305422,"11:21 ET"
CPT,"Camden Property Trust",91.76,1.87,+2.08%,89.85,91.85,89.85,88978,"11:21 ET"
CR,"Crane Company",59.65,0.84,+1.43%,58.28,59.78,58.26,89183,"11:17 ET"
CREE,"Cree Inc",59.49,1.19,+2.04%,58.22,59.49,58.15,173714,"11:21 ET"
CRI,"Carter's Inc",80.77,1.44,+1.82%,79.15,80.79,79.15,129615,"11:22 ET"
CRL,"Charles River Laboratories Intl",171.7,2.7,+1.60%,169.92,171.7,169.1,51402,"11:17 ET"
CRM,"Salesforce.com Inc",185.25,1.92,+1.05%,183.45,185.35,183.11,805826,"11:21 ET"
CRNC,"Cerence Inc",39.22,0.55,+1.42%,38.64,39.61,38.47,211625,"11:21 ET"
CSCO,"Cisco Systems Inc",46.68,0.53,+1.15%,46.15,47.01,45.97,5862206,"11:22 ET"
CSGP,"Costar Group Inc",703,11.37,+1.64%,692.5,703,689.27,29263,"11:19 ET"
CSL,"Carlisle Companies Inc",120.93,1.62,+1.36%,118.78,120.93,118.75,53832,"11:19 ET"
CSX,"CSX Corp",69.22,0.72,+1.05%,68.16,69.26,67.99,575147,"11:22 ET"
CTAS,"Cintas Corp",266.43,2.82,+1.07%,261.6,266.68,260.01,97766,"11:20 ET"
CTL,Centurylink,9.98,0.19,+1.94%,9.82,10.05,9.78,3947398,"11:21 ET"
CTLT,"Catalent Inc",72.57,0.63,+0.88%,71.85,72.57,71.27,125557,"11:22 ET"
CTSH,"Cognizant Tech Sol",57.05,0.56,+0.99%,56.59,57.55,56.27,1053894,"11:21 ET"
CTVA,"Corteva Inc",26.47,0.33,+1.26%,26.12,26.62,25.8,888981,"11:21 ET"
CTXS,"Citrix Systems Inc",147.74,2.92,+2.02%,146.57,147.91,145,268139,"11:21 ET"
CUBE,Cubesmart,27.09,0.09,+0.33%,26.68,27.14,26.68,166622,"11:21 ET"
