Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
LOGI,"Logitech Int S.A.",65.06,1.18,+1.85%,64.52,65.06,64.09,145273,"11:15 ET"
LOGM,"Logmein Inc",85.22,-0.070000000000007,-0.08%,85.23,85.25,85.13,55980,"11:25 ET"
LOOP,"Loop Industries Inc",9.33,0.13,+1.41%,9.29,9.7,9.12,4918,"10:47 ET"
LOPE,"Grand Canyon Educati",91.78,1.26,+1.39%,90.66,91.78,90.1,40961,"11:23 ET"
LORL,"Loral Space Comm",19.53,-0.16,-0.81%,19.71,19.71,19.3,18412,"11:20 ET"
LPLA,"Lpl Financial Hld",76.89,0.42,+0.55%,75.7,77.43,75.7,87248,"11:23 ET"
LPSN,"Liveperson Inc",40.77,0.24,+0.59%,40.51,40.97,40.21,128972,"11:23 ET"
LRCX,"Lam Research Corp",323.7,15.24,+4.94%,311.19,325.49,307.82,1158969,"11:25 ET"
LSCC,"Lattice Semicond",28.1,0.8,+2.93%,27.67,28.38,27.51,410703,"11:24 ET"
LSTR,"Landstar System",111.67,1.26,+1.14%,110.35,111.75,110.35,41548,"11:24 ET"
LSXMA,"Liberty Srs XM CS A",34.24,0.76000000000001,+2.27%,33.35,34.28,33.17,90670,"11:23 ET"
LSXMK,"Liberty Srs XM CS C",34.28,0.79,+2.36%,33.5,34.34,33.17,416706,"11:24 ET"
LULU,"Lululemon Athletica",307.93,13.58,+4.61%,305,318.32,302.5,2874149,"11:25 ET"
LVGO,"Livongo Health Inc",74.64,3.08,+4.30%,71.84,74.69,71.5,728699,"11:23 ET"
LX,"Lexinfintech Holdings Ltd",10.57,-0.06,-0.56%,10.63,10.73,10.51,146038,"11:25 ET"
LXRX,"Lexicon Pharmaceutcl",2.04,0.06,+3.03%,2.01,2.04,1.96,189541,"11:21 ET"
LYFT,"Lyft Inc Cl A",33.03,-0.030000000000001,-0.09%,32.77,33.12,32.22,1571187,"11:24 ET"
MANH,"Manhattan Assoc",94.63,0.67,+0.71%,93.23,94.8,92.96,69708,"11:23 ET"
MANT,"Mantech Intl Cp A",68.64,0.43000000000001,+0.63%,68.03,69.2,68.03,54300,"11:10 ET"
MAR,"Marriot Int Cl A",86.22,-0.38,-0.44%,85.41,87.01,84,1284794,"11:25 ET"
MASI,"Masimo Corp",222.81,3.08,+1.40%,220.85,223.32,219.7,55602,"11:23 ET"
MAT,"Mattel Inc",9.67,0.07,+0.73%,9.52,9.71,9.49,477904,"11:24 ET"
MCHP,"Microchip Technology",104.52,1.95,+1.90%,102.86,104.84,101.03,485226,"11:25 ET"
MCRB,"Seres Theraptc",4.96,0.29,+6.21%,4.8,5.28,4.7,296280,"11:24 ET"
MCRI,"Monarch Casino",34.18,0.13,+0.38%,33.91,34.51,33.6,14712,"11:21 ET"
MDB,"Mongodb Inc Cl A",224.46,4.04,+1.83%,221.23,225.7,218.23,228545,"11:23 ET"
MDGL,"Madrigal Pharmaceuticals Inc",110.82,8.08,+7.86%,104.28,111,102.25,55041,"11:22 ET"
MDLZ,"Mondelez Intl Inc",50.92,0.34,+0.67%,50.7,51.06,50.47,671442,"11:25 ET"
MDRX,"Allscripts Hlthcare",6.73,0.2,+3.06%,6.46,6.75,6.45,201824,"11:23 ET"
